OTU	Domain	Phylum	Class	Order	Family	Genus	Species
OTU_3	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	S24-7	?	?
OTU_4	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	?	?
OTU_2	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Parabacteroides	?
OTU_1	Bacteria	Firmicutes	Clostridia	Clostridiales	?	?	?
OTU_7	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	?
OTU_6	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	?	?
OTU_8	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	?	?
OTU_5	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	[Ruminococcus]	gnavus
OTU_9	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	S24-7	?	?
OTU_10	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	?	?
OTU_13	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	acidifaciens
OTU_11	Bacteria	Firmicutes	Clostridia	Clostridiales	?	?	?
OTU_14	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	?	?	?
OTU_12	Bacteria	Firmicutes	Clostridia	Clostridiales	?	?	?
OTU_15	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	S24-7	?	?
OTU_18	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	S24-7	?	?
OTU_16	Bacteria	Firmicutes	Clostridia	Clostridiales	?	?	?
OTU_17	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	?
OTU_21	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	S24-7	?	?
OTU_19	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Bilophila	?
OTU_20	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	?
OTU_22	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	C21_c20
OTU_24	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	[Odoribacteraceae]	Odoribacter	?
OTU_25	Bacteria	Proteobacteria	Alphaproteobacteria	RF32	?	?	?
OTU_23	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillospira	?
OTU_26	Bacteria	Firmicutes	Clostridia	Clostridiales	?	?	?
OTU_27	Bacteria	Firmicutes	Clostridia	Clostridiales	?	?	?
OTU_29	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	?	?
OTU_28	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillospira	?
OTU_31	Bacteria	Deferribacteres	Deferribacteres	Deferribacterales	Deferribacteraceae	Mucispirillum	schaedleri
OTU_33	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	S24-7	?	?
OTU_30	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	?	?
OTU_32	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillospira	?
OTU_34	Bacteria	Firmicutes	Clostridia	Clostridiales	?	?	?
OTU_36	Bacteria	Firmicutes	Clostridia	Clostridiales	?	?	?
OTU_35	Bacteria	Firmicutes	Clostridia	Clostridiales	?	?	?
OTU_37	Bacteria	Firmicutes	Clostridia	Clostridiales	?	?	?
OTU_38	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	?	?
OTU_40	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	S24-7	?	?
OTU_39	Bacteria	Firmicutes	Clostridia	Clostridiales	Dehalobacteriaceae	Dehalobacterium	?
OTU_41	Bacteria	Firmicutes	Clostridia	Clostridiales	?	?	?
OTU_42	Bacteria	Firmicutes	Clostridia	Clostridiales	?	?	?
OTU_43	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	?
OTU_44	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	?	?
OTU_45	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptococcaceae	?	?
OTU_46	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	?
OTU_47	Bacteria	Firmicutes	Clostridia	Clostridiales	?	?	?
OTU_49	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	S24-7	?	?
OTU_48	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	?	?
OTU_50	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	?
OTU_52	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	S24-7	?	?
OTU_51	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	?	?
OTU_53	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus	?
OTU_54	Bacteria	Firmicutes	Erysipelotrichi	Erysipelotrichales	Erysipelotrichaceae	Allobaculum	?
OTU_55	Bacteria	Firmicutes	Clostridia	Clostridiales	?	?	?
OTU_56	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	?	?
OTU_57	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	?	?
OTU_59	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	S24-7	?	?
OTU_64	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	S24-7	?	?
OTU_61	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillospira	?
OTU_62	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Adlercreutzia	?
OTU_65	Bacteria	Firmicutes	Clostridia	Clostridiales	?	?	?
OTU_67	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	S24-7	?	?
OTU_68	Bacteria	Cyanobacteria	4C0d-2	YS2	?	?	?
OTU_66	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	?	?
OTU_71	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	?
OTU_69	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	?
OTU_70	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	?	?
OTU_73	Bacteria	Firmicutes	Clostridia	Clostridiales	?	?	?
OTU_74	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	S24-7	?	?
OTU_72	Bacteria	Firmicutes	Clostridia	Clostridiales	[Mogibacteriaceae]	?	?
OTU_77	Bacteria	TM7	TM7-3	CW040	F16	?	?
OTU_75	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	?	?
OTU_76	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	?
OTU_78	Bacteria	Firmicutes	Clostridia	Clostridiales	Dehalobacteriaceae	Dehalobacterium	?
OTU_81	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	S24-7	?	?
OTU_80	Bacteria	Firmicutes	Erysipelotrichi	Erysipelotrichales	Erysipelotrichaceae	Allobaculum	?
OTU_79	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	?
OTU_82	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillospira	?
OTU_85	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	S24-7	?	?
OTU_83	Bacteria	Firmicutes	Clostridia	Clostridiales	?	?	?
OTU_86	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	S24-7	?	?
OTU_84	Bacteria	Firmicutes	Clostridia	Clostridiales	[Mogibacteriaceae]	?	?
OTU_88	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	aerofaciens
OTU_89	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	S24-7	?	?
OTU_92	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Akkermansia	muciniphila
OTU_91	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	S24-7	?	?
OTU_87	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	sciuri
OTU_90	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	?	?
OTU_93	Bacteria	Firmicutes	Clostridia	Clostridiales	?	?	?
