Family	13xSPFxCD	14xSPFxCD	15xSPFxCD	16xSPFxCD	19xSPFxHFD	21xSPFxHFD	22xSPFxHFD	24xSPFxHFD
Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae	1	1	2	0	0	4	3	5
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;?	75	17	34	6	67	4	15	29
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae	199	105	101	118	166	103	327	156
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae	161	421	191	565	13	17	140	28
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae	178	260	309	176	184	70	181	164
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;S24-7	671	603	604	235	55	11	50	13
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;[Odoribacteraceae]	28	23	29	3	36	7	9	19
Bacteria;Cyanobacteria;4C0d-2;YS2;?	1	1	6	1	0	0	0	0
Bacteria;Deferribacteres;Deferribacteres;Deferribacterales;Deferribacteraceae	0	1	0	26	12	45	3	2
Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae	0	0	0	0	0	0	3	0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae	1	0	2	0	22	1	9	11
Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae	0	0	0	0	0	0	3	1
Bacteria;Firmicutes;Clostridia;Clostridiales;?	234	88	117	114	591	781	441	804
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae	1	2	0	0	2	1	0	2
Bacteria;Firmicutes;Clostridia;Clostridiales;Dehalobacteriaceae	6	7	8	12	6	5	5	12
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae	80	84	83	121	68	125	176	153
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptococcaceae	2	3	5	5	1	7	9	10
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae	94	140	142	182	257	282	268	222
Bacteria;Firmicutes;Clostridia;Clostridiales;[Mogibacteriaceae]	1	2	0	3	1	0	0	3
Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae	10	8	0	2	0	0	1	3
Bacteria;Proteobacteria;Alphaproteobacteria;RF32;?	11	48	24	11	5	5	37	9
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae	22	34	32	74	46	41	65	19
Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae	0	0	2	3	0	0	2	0
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae	0	0	1	0	0	0	3	6
Bacteria;TM7;TM7-3;CW040;F16	0	0	0	0	0	0	0	4
Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Verrucomicrobiaceae	0	1	0	0	0	1	0	0
