OTU	Sample1	Sample2	Sample2	Ctrl1	Ctrl2	Ctrl3	Ref
OTU_1	3486	4657	295	2083	1674	871	2420
OTU_2	9	14	11	8114	4695	8034	2372
OTU_3	4589	3624	10662	72	54	17	17
OTU_4	4	6	7	66	498	296	34
OTU_5	8	7	1	103	223	127	99
OTU_6	9	16	1	7	6	6	353
OTU_7	2969	1266	5262	21	19	10	8
OTU_8	8	92	6	10	3	7	0
OTU_9	10	13	6	1658	974	1655	571
OTU_10	8	7	4	708	993	642	4
OTU_11	4	6	5	9	999	4	6
OTU_12	3	8	14	7	12	6	37
OTU_13	9	5	2	348	494	353	184
OTU_14	7	14	4	50	204	72	48
OTU_15	4	8	5	235	324	154	77
OTU_16	4	0	2	81	93	100	147
OTU_17	12	10	5	21	134	56	167
OTU_18	18	10	5	216	346	493	185
OTU_19	5	7	5	7	6	3	336
OTU_20	7	10	1	97	228	90	49
OTU_21	1588	2285	523	102	250	189	72
OTU_22	3	7	4	265	368	88	284
OTU_23	5	7	6	339	157	202	191
OTU_24	3	55	5	437	934	423	30
OTU_25	8	3	2	2	5	5	20
OTU_26	1	5	4	441	606	812	265
OTU_27	10	5	11	10	9	2	4
OTU_28	3	3	3	2	8	4	2
OTU_29	936	1036	772	4	1	5	1
OTU_30	6	6	4	5	10	4	3
OTU_31	11	3	3	168	190	353	7
OTU_32	5	7	2	259	375	206	19
OTU_33	14	6	4	6	5	2	3
OTU_34	4	3	4	15	60	12	155
OTU_35	1692	3712	2523	2	2	5	2
OTU_36	4	6	6	4	3	4	5
OTU_37	0	9	2	1060	48	420	783
OTU_38	4	2	4	8	5	6	4
OTU_39	315	856	258	9	8	7	8
OTU_40	5	3	2	8	5	1	0
OTU_41	3	6	4	4	1	2	1
OTU_42	2	4	0	464	486	711	82
OTU_43	423	1563	600	3	4	4	5
OTU_44	3	1	0	38	45	44	30
OTU_45	2	4	4	621	253	584	11
OTU_46	2	3	2	176	41	107	57
OTU_47	2	2	0	4	6	9	49
OTU_48	2	4	4	4	5	3	70
OTU_49	1	0	3	101	263	113	93
OTU_50	7	2	2	104	174	36	110
OTU_51	267	3730	2437	7	3	1	1
OTU_52	2	6	6	9	39	82	10
OTU_53	6	4	0	9	42	15	79
OTU_54	3	7	1	127	50	63	11
OTU_55	3	0	6	1797	282	837	1
OTU_56	4	12	7	79	73	65	207
OTU_57	3	0	0	214	8	178	58
OTU_58	4	2	2	8	9	19	1
OTU_59	949	12	1562	2	0	4	5
