#OTU	Classes	Taxonomy
OTU_1	fermentation;	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae NK4A136 group;Lachnospiraceae bacterium 607
OTU_10	N/A	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;uncultured organism;?
OTU_100	N/A	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;uncultured Bacteroidales bacterium;?
OTU_101	N/A	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;?;?
OTU_102	N/A	Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Eggerthellaceae;Enterorhabdus;?
OTU_103	N/A	Bacteria;Firmicutes;Clostridia;Clostridiales;Family XI;Anaerococcus;?
OTU_104	N/A	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;?;?
OTU_105	N/A	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminiclostridium 9;?
OTU_106	aerobic_chemoheterotrophy;	Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;Parasutterella;?
OTU_107	N/A	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;?;?
OTU_108	fermentation;	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia;?
OTU_109	N/A	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;?;?
OTU_11	fermentation;	Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;?
OTU_110	N/A	Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Neisseriaceae;?;?
OTU_111	N/A	Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Dubosiella;Dubosiella newyorkensis
OTU_112	N/A	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;?;?
OTU_113	fermentation;	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae NK4A136 group;?
OTU_114	N/A	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Marinifilaceae;Odoribacter;?
OTU_115	N/A	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Acetatifactor;Clostridiales bacterium CIEAF 015
OTU_116	N/A	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;Muribaculum;?
OTU_117	N/A	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;?;?
OTU_118	fermentation;	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;?
OTU_119	aerobic_chemoheterotrophy;fermentation;human_gut;nitrate_reduction;	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Klebsiella;?
OTU_12	fermentation;	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae NK4A136 group;uncultured Lachnospiraceae bacterium
OTU_120	N/A	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;?;?
OTU_121	sulfate_respiration;	Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio;?
OTU_122	fermentation;	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae NK4A136 group;?
OTU_123	fermentation;	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae NK4A136 group;uncultured organism
OTU_124	N/A	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae UCG-014;uncultured rumen bacterium
OTU_125	N/A	Bacteria;Cyanobacteria;Melainabacteria;Gastranaerophilales;?;?;?
OTU_126	fermentation;	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae NK4A136 group;?
OTU_127	aerobic_chemoheterotrophy;fermentation;human_gut;nitrate_reduction;	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Citrobacter;?
OTU_128	aerobic_chemoheterotrophy;fermentation;human_gut;nitrate_reduction;	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Klebsiella;?
OTU_129	aerobic_chemoheterotrophy;animal_parasites_or_symbionts;aromatic_compound_degradation;human_pathogens_all;	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;?
OTU_13	N/A	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;uncultured Bacteroidales bacterium;?
OTU_130	N/A	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;?;?
OTU_131	N/A	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae UCG-014;?
OTU_132	N/A	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;?;?
OTU_133	N/A	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;?;?
OTU_134	N/A	Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Eggerthellaceae;Enterorhabdus;?
OTU_135	N/A	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;?;?
OTU_136	fermentation;	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Anaerotruncus;Anaerotruncus sp. G3(2012)
OTU_137	N/A	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae UCG-014;gut metagenome
OTU_138	N/A	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;?;?
OTU_139	N/A	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae UCG-010;?
OTU_14	fermentation;	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae NK4A136 group;?
OTU_140	animal_parasites_or_symbionts;fermentation;	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Roseburia;Lachnospiraceae bacterium DW52
OTU_141	N/A	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;?;?;?
OTU_142	N/A	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;[Eubacterium] eligens group;?
OTU_143	N/A	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae UCG-014;?
OTU_144	fermentation;human_gut;	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;[Eubacterium] hallii group;uncultured organism
OTU_145	N/A	Bacteria;Deferribacteres;Deferribacteres;Deferribacterales;Deferribacteraceae;Mucispirillum;?
OTU_146	N/A	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae UCG-014;?
OTU_147	N/A	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;?;?
OTU_148	fermentation;	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus 2;?
OTU_149	fermentation;	Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;?
OTU_15	fermentation;	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;uncultured Bacteroidales bacterium
OTU_150	fermentation;	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia;?
OTU_151	N/A	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminiclostridium 6;?
OTU_152	N/A	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae UCG-014;?
OTU_153	N/A	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae UCG-014;?
OTU_154	N/A	Bacteria;Epsilonbacteraeota;Campylobacteria;Campylobacterales;Helicobacteraceae;Helicobacter;Syphacia muris
OTU_155	N/A	Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Eggerthellaceae;Enterorhabdus;?
OTU_156	N/A	Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Eggerthellaceae;DNF00809;?
OTU_157	N/A	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae UCG-014;uncultured rumen bacterium 4C28d-18
OTU_158	fermentation;	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;?
OTU_159	fermentation;	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;[Eubacterium] coprostanoligenes group;uncultured organism
