Class	Sample1	Sample2	Sample2	Ctrl1	Ctrl2	Ctrl3	Ref
aerobic_chemoheterotrophy	5742	5707	5707	932	423	823	87
animal_parasites_or_symbionts	243	2254	2254	34	63	41	404
aromatic_compound_degradation	1	1308	1308	0	1	2	0
dark_hydrogen_oxidation	2	1	1	21	3	3	7
fermentation	24140	54773	54773	4962	7305	3691	6451
human_gut	7154	12634	12634	178	380	291	391
human_pathogens_all	3120	8325	8325	37	25	42	8
human_pathogens_pneumonia	0	0	0	15	5	30	0
intracellular_parasites	0	0	0	1	71	4	5
nitrate_reduction	5549	9654	9654	51	50	62	62
nitrate_respiration	0	0	0	0	0	1	0
reductive_acetogenesis	2	1	1	21	1	3	6
sulfate_respiration	0	3	3	113	106	50	160
ureolysis	118	0	0	0	0	0	0
xylanolysis	15	18	18	5	10	4	4
