OTU	Domain	Phylum	Class	Order	Family	Genus	Species
OTU_10	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured organism	?
OTU_5	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	?	?
OTU_13	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured Bacteroidales bacterium	?
OTU_9	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	?	?	?
OTU_4	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	?	?
OTU_2	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	Muribaculum	?
OTU_6	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	?	?
OTU_11	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	?
OTU_8	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Faecalibaculum	Faecalibaculum rodentium
OTU_12	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae NK4A136 group	uncultured Lachnospiraceae bacterium
OTU_14	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae NK4A136 group	?
OTU_1	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae NK4A136 group	Lachnospiraceae bacterium 607
OTU_3	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	?
OTU_15	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	uncultured Bacteroidales bacterium
OTU_17	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	?
OTU_16	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	?	?
OTU_18	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	?	?
OTU_7	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Escherichia-Shigella	?
OTU_20	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	?	?
OTU_22	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	?	?
OTU_23	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	?	?
OTU_24	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	?	?
OTU_26	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	Muribaculum	Parabacteroides sp. YL27
OTU_21	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	[Ruminococcus] torques group	?
OTU_19	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae UCG-001	?
OTU_25	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	A2	Lachnospiraceae bacterium A2
OTU_31	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	?	?
OTU_32	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured Bacteroidales bacterium	?
OTU_33	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured Bacteroidales bacterium	?
OTU_27	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae NK4A136 group	?
OTU_28	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus 1	?
OTU_30	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	[Eubacterium] ruminantium group	?
OTU_35	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	?
OTU_29	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae 1	Clostridium sensu stricto 1	?
OTU_37	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	?	?
OTU_34	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillibacter	[Clostridium] leptum
OTU_36	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	?
OTU_42	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	?	?
OTU_40	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	?	?
OTU_41	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	?	?
OTU_44	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured Bacteroidales bacterium	?
OTU_45	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	?	?
OTU_46	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Rikenellaceae RC9 gut group	?
OTU_38	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae NK4A214 group	?
OTU_48	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	?	?
OTU_47	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	?
OTU_49	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	?
OTU_43	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	?
OTU_39	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Enterobacter	?
OTU_50	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	?	?
OTU_51	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Subdoligranulum	?
OTU_55	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	?	?
OTU_54	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	uncultured organism
OTU_52	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-014	uncultured rumen bacterium
OTU_57	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	?	?
OTU_58	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Eggerthellaceae	?	?
OTU_53	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillibacter	uncultured Clostridiales bacterium
OTU_62	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured Bacteroidales bacterium	?
OTU_59	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	?
OTU_64	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	?	?
OTU_67	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Marinifilaceae	?	?
OTU_56	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	?	?
OTU_69	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	?
OTU_63	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	?
OTU_66	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	?
OTU_61	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium 1	Corynebacterium kroppenstedtii
OTU_72	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotellaceae UCG-001	uncultured Bacteroidales bacterium
