Class	CF1	CF10	CF11	CF12	CF13	CF14	CF15	CF16	CF17	CF18	CF19	CF2	CF20	CF21	CF22	CF23	CF24	CF25	CF26	CF27	CF28	CF29	CF3	CF30	CF31	CF32	CF33	CF34	CF35	CF36	CF37	CF38	CF39	CF4	CF40	CF41	CF42	CF43	CF44	CF45	CF46	CF47	CF48	CF5	CF6	CF7	CF8	CF9	CL1n	CL2n	CL3n
Bacteria;?;?	0	0	0	0	2	0	9	0	8	2	1	0	4	1	4	0	1	10	1	0	2	6	0	0	2	0	0	1	0	53	0	6	13	0	12	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Acidobacteria;Subgroup 6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	1	445	0
Bacteria;Actinobacteria;Actinobacteria	21	11	16	8	73	27	11	38	17	0	10	3	18	42	20	27	3	4	7	29	27	41	7	20	32	6	7	23	11	19	62	27	36	11	51	13	14	5	11	13	14	8887	2575	38	14	14	17	14	3112	4881	4879
Bacteria;Actinobacteria;Coriobacteriia	290	2915	372	535	210	192	206	178	262	237	170	180	227	244	137	178	240	243	443	18	137	308	239	161	114	65	23	87	190	99	25	131	165	614	162	671	351	258	302	413	290	3873	578	869	206	1735	1933	387	2052	3764	3414
Bacteria;Actinobacteria;Thermoleophilia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0
Bacteria;Bacteroidetes;Bacteroidia	19972	24674	19992	17295	8927	8289	13902	14725	11582	6375	9165	15417	8045	8539	16370	8683	9542	9355	15164	1865	5543	12428	18370	5231	8069	7931	7780	7203	12910	8138	8895	8515	10398	11185	11033	30610	22097	16812	24599	34635	23980	485	177	11832	11524	14119	23518	18592	733	2107	1244
Bacteria;Chlamydiae;Chlamydiae	0	29	12	0	2	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	6	3	59	43	13	0	0	0
Bacteria;Cyanobacteria;Melainabacteria	55	0	277	728	41	2	25	26	3	7	5	171	1	11	8	28	10	11	12	0	2	83	55	7	0	9	0	3	28	3	64	31	57	37	32	1	2	3	0	0	53	0	0	61	3	934	6	741	4	1	0
Bacteria;Cyanobacteria;Oxyphotobacteria	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	222	0	0	0	1	0	0	0	0
Bacteria;Deferribacteres;Deferribacteres	7	15	9	0	9	5	10	6	3	13	6	48	5	2	10	2	2	6	0	25	3	6	3	9	3	1	17	10	24	2	7	14	4	27	14	20	46	680	110	235	471	0	0	41	2	4	11	0	2	2	2
Bacteria;Deinococcus-Thermus;Deinococci	0	0	1	2	0	0	0	0	0	1	1	2	1	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	712	0	0	0	1	0	1	0	0	0
Bacteria;Epsilonbacteraeota;Campylobacteria	600	16	570	404	37	2	2	4	0	1	0	1434	4	4	0	0	2	0	2	3	3	3	206	0	2	1	1	3	0	0	1	1	4	291	0	1	3	1	0	2	5	2	2	394	449	186	105	558	7	0	5
Bacteria;Firmicutes;Bacilli	101	139	126	287	929	2439	391	889	643	143	209	1126	231	166	100	2442	1027	276	2231	1285	396	1112	37	132	1005	790	743	1738	529	1068	224	472	740	67	2109	3942	2023	906	513	1648	616	11456	6652	55	231	126	274	300	7412	8486	13158
Bacteria;Firmicutes;Clostridia	4040	6270	12015	11816	9312	17244	16355	8106	20947	14017	12661	5567	10121	8228	7367	8701	10940	18670	11887	9303	5137	9422	2966	8165	4769	3940	3631	7333	12374	7629	2321	11409	8673	6010	6887	14029	15374	25048	15280	11926	17019	7403	7779	10827	3478	5448	8460	8649	14296	18645	8313
Bacteria;Firmicutes;Erysipelotrichia	2322	30	13	16	118	75	36	22	65	1328	691	251	1862	2570	4075	63	19	10	72	22	18	75	1172	100	7	25	4	28	44	35	31	178	124	108	619	6347	4667	3726	85	158	4892	11	0	89	929	185	40	9	1312	469	8
