Family	CF1	CF10	CF11	CF12	CF13	CF14	CF15	CF16	CF17	CF18	CF19	CF2	CF20	CF21	CF22	CF23	CF24	CF25	CF26	CF27	CF28	CF29	CF3	CF30	CF31	CF32	CF33	CF34	CF35	CF36	CF37	CF38	CF39	CF4	CF40	CF41	CF42	CF43	CF44	CF45	CF46	CF47	CF48	CF5	CF6	CF7	CF8	CF9	CL1n	CL2n	CL3n
Bacteria;?;?;?;?	0	0	0	0	2	0	9	0	8	2	1	0	4	1	4	0	1	10	1	0	2	6	0	0	2	0	0	1	0	53	0	6	13	0	12	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Acidobacteria;Subgroup 6;?;?	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	1	445	0
Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae	12	10	13	4	68	22	4	29	13	0	6	2	11	39	14	21	0	4	0	23	18	27	5	10	28	1	5	19	4	14	61	22	36	8	49	8	9	2	6	9	9	5365	376	33	7	6	14	4	2166	1747	2179
Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Corynebacteriaceae	5	1	2	2	2	4	4	7	3	0	3	1	3	1	2	4	2	0	4	2	6	7	0	7	3	4	1	3	5	5	1	2	0	2	1	3	2	3	2	1	2	1397	794	2	5	4	1	5	490	1949	1898
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	359	0	0	0	0	0	256	1	0
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Promicromonosporaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	173	0	2	0	0	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Propionibacteriales;Nocardioidaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	606	0	0	0	0	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Propionibacteriales;Propionibacteriaceae	4	0	1	2	3	1	3	2	1	0	1	0	4	2	4	2	1	0	3	4	3	7	2	3	1	1	1	1	2	0	0	3	0	1	1	2	3	0	3	3	3	2124	267	3	0	2	2	5	200	977	802
Bacteria;Actinobacteria;Actinobacteria;Streptomycetales;Streptomycetaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0
Bacteria;Actinobacteria;Actinobacteria;Streptosporangiales;Nocardiopsaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	170	0
Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Atopobiaceae	0	2	0	0	27	43	11	9	35	19	8	0	16	11	7	5	6	18	21	0	6	14	2	9	6	2	1	11	6	8	1	3	7	0	14	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	431
Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae	4	1	9	6	9	7	9	9	3	1	2	2	2	8	1	2	1	2	5	6	6	7	8	2	0	1	1	3	3	5	2	1	2	2	5	4	4	4	4	8	6	3869	2	8	10	9	9	0	1692	3752	2558
Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriales Incertae Sedis	0	0	12	7	17	0	0	1	1	1	0	0	2	1	0	2	2	0	1	0	1	0	0	0	2	0	0	0	2	0	0	3	1	102	0	0	0	0	0	0	0	0	0	140	0	0	0	5	0	0	0
Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Eggerthellaceae	286	2912	351	522	157	142	186	159	223	216	160	178	207	224	129	169	231	223	416	12	124	287	229	150	106	62	21	73	179	86	22	124	155	510	143	667	347	254	298	405	284	4	576	720	196	1726	1924	382	360	12	425
