OTU	CL1n	CL2n	CL3n	CF1	CF2	CF3	CF4	CF5	CF6	CF7	CF8	CF9	CF10	CF11	CF12	CF13	CF14	CF15	CF16	CF17	CF18	CF19	CF20	CF21	CF22	CF23	CF24	CF25	CF26	CF27	CF28	CF29	CF30	CF31	CF32	CF33	CF34	CF35	CF36	CF37	CF38	CF39	CF40	CF41	CF42	CF43	CF44	CF45	CF46	CF47	CF48
OTU_1	3486	4657	295	2083	1674	871	2420	4187	1384	3467	6064	2708	4718	3216	5582	3156	5408	4353	3562	5875	5739	4076	3740	2848	1501	3748	3361	5163	4034	3466	1645	2955	2464	1122	932	2404	2424	4076	2197	499	3861	2600	2138	3367	3680	5452	2913	2047	3677	1724	759
OTU_2	9	14	11	8114	4695	8034	2372	2773	25	347	9708	1899	9495	1027	869	353	15	14	32	14	8	16	20	7	55	11	15	13	18	13	16	28	14	10	5	11	4	57	2	139	4	5	122	9157	5972	4916	5062	5278	3993	12	0
OTU_3	4589	3624	10662	72	54	17	17	8	141	30	81	106	85	34	58	12	78	89	131	197	81	89	58	35	9	76	636	208	750	64	79	89	21	227	778	681	105	505	87	112	47	190	425	10	9	5	11	20	13	5201	5324
OTU_4	4	6	7	66	498	296	34	25	745	25	8	4	10	4	4	207	539	1663	2076	1275	1054	993	959	988	3404	319	1302	365	1638	11	814	707	199	654	1746	279	651	967	1241	731	522	740	296	2	6	11	3	5	1	1	1
OTU_5	8	7	1	103	223	127	99	93	1142	151	49	332	40	259	402	779	669	921	616	1091	611	870	572	733	489	794	444	1690	725	51	417	1457	459	526	514	12	432	995	397	1774	698	777	533	944	381	429	469	1819	382	2	0
OTU_6	9	16	1	7	6	6	353	343	24	6	5	1244	6	996	1660	519	819	949	1572	1229	370	381	467	387	676	908	513	395	1606	17	547	964	446	447	708	19	324	1050	542	607	635	1143	1332	353	119	108	497	468	119	1	2
OTU_7	2969	1266	5262	21	19	10	8	20	511	35	12	11	10	11	19	17	6	10	79	110	46	6	15	7	12	44	18	61	41	5102	148	64	2	139	1549	577	23	92	24	77	15	17	2796	7	8	37	20	26	22	3883	38
OTU_8	8	92	6	10	3	7	0	9	10	8	5	2	2	4	11	98	65	19	7	38	1275	669	1235	2382	833	49	6	1	18	8	11	58	78	4	3	1	13	5	21	25	140	115	590	6061	3311	3029	34	99	3741	6	0
OTU_9	10	13	6	1658	974	1655	571	710	17	89	1907	371	1924	159	238	111	5	10	12	4	3	10	13	6	18	5	5	10	4	8	8	21	7	5	2	3	7	20	2	68	9	4	36	3137	2247	1759	1712	1753	1334	6	2
OTU_10	8	7	4	708	993	642	4	7	75	2313	2149	4	2457	8	7	439	361	552	1252	273	188	146	922	533	1763	229	251	313	1968	20	73	394	107	361	288	8	106	220	18	444	174	555	275	8	1	11	1	6	5	2	0
OTU_11	4	6	5	9	999	4	6	6	61	37	9	134	9	60	214	574	947	238	90	218	0	4	10	6	7	2132	272	39	1344	14	94	670	59	634	0	30	1503	5	568	58	31	86	247	3901	1992	888	487	1595	582	3	3
