Order	CF1	CF10	CF11	CF12	CF13	CF14	CF15	CF16	CF17	CF18	CF19	CF2	CF20	CF21	CF22	CF23	CF24	CF25	CF26	CF27	CF28	CF29	CF3	CF30	CF31	CF32	CF33	CF34	CF35	CF36	CF37	CF38	CF39	CF4	CF40	CF41	CF42	CF43	CF44	CF45	CF46	CF47	CF48	CF5	CF6	CF7	CF8	CF9	CL1n	CL2n	CL3n
Bacteria;?;?;?	0	0	0	0	2	0	9	0	8	2	1	0	4	1	4	0	1	10	1	0	2	6	0	0	2	0	0	1	0	53	0	6	13	0	12	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Acidobacteria;Subgroup 6;?	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	1	445	0
Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales	12	10	13	4	68	22	4	29	13	0	6	2	11	39	14	21	0	4	0	23	18	27	5	10	28	1	5	19	4	14	61	22	36	8	49	8	9	2	6	9	9	5365	376	33	7	6	14	4	2166	1747	2179
Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales	5	1	2	2	2	4	4	7	3	0	3	1	3	1	2	4	2	0	4	2	6	7	0	7	3	4	1	3	5	5	1	2	0	2	1	3	2	3	2	1	2	1397	794	2	5	4	1	5	490	1949	1898
Bacteria;Actinobacteria;Actinobacteria;Micrococcales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	532	0	2	0	0	0	256	1	0
Bacteria;Actinobacteria;Actinobacteria;Propionibacteriales	4	0	1	2	3	1	3	2	1	0	1	0	4	2	4	2	1	0	3	4	3	7	2	3	1	1	1	1	2	0	0	3	0	1	1	2	3	0	3	3	3	2124	873	3	0	2	2	5	200	977	802
Bacteria;Actinobacteria;Actinobacteria;Streptomycetales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0
Bacteria;Actinobacteria;Actinobacteria;Streptosporangiales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	170	0
Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales	290	2915	372	535	210	192	206	178	262	237	170	180	227	244	137	178	240	243	443	18	137	308	239	161	114	65	23	87	190	99	25	131	165	614	162	671	351	258	302	413	290	3873	578	869	206	1735	1933	387	2052	3764	3414
Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales	19970	24674	19992	17295	8927	8289	13902	14725	11582	6375	9165	15417	8045	8539	16370	8683	9542	9355	15164	1865	5543	12428	18370	5231	8069	7931	7780	7203	12910	8138	8895	8515	10398	11183	11033	30610	22097	16812	24598	34635	23980	89	174	11832	11524	14117	23517	18592	570	1246	1244
Bacteria;Bacteroidetes;Bacteroidia;Cytophagales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	349	0
Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	396	3	0	0	2	1	0	163	512	0
Bacteria;Chlamydiae;Chlamydiae;Chlamydiales	0	29	12	0	2	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	6	3	59	43	13	0	0	0
