Phylum	CF1	CF10	CF11	CF12	CF13	CF14	CF15	CF16	CF17	CF18	CF19	CF2	CF20	CF21	CF22	CF23	CF24	CF25	CF26	CF27	CF28	CF29	CF3	CF30	CF31	CF32	CF33	CF34	CF35	CF36	CF37	CF38	CF39	CF4	CF40	CF41	CF42	CF43	CF44	CF45	CF46	CF47	CF48	CF5	CF6	CF7	CF8	CF9	CL1n	CL2n	CL3n
Bacteria;?	0	0	0	0	2	0	9	0	8	2	1	0	4	1	4	0	1	10	1	0	2	6	0	0	2	0	0	1	0	53	0	6	13	0	12	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Acidobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	1	445	0
Bacteria;Actinobacteria	311	2926	388	543	283	219	217	216	279	237	180	183	245	286	157	205	243	247	450	47	164	349	246	181	146	71	30	110	201	118	87	158	201	625	213	684	365	263	313	426	304	12760	3202	907	220	1749	1950	401	5164	8645	8293
Bacteria;Bacteroidetes	19972	24674	19992	17295	8927	8289	13902	14725	11582	6375	9165	15417	8045	8539	16370	8683	9542	9355	15164	1865	5543	12428	18370	5231	8069	7931	7780	7203	12910	8138	8895	8515	10398	11185	11033	30610	22097	16812	24599	34635	23980	485	177	11832	11524	14119	23518	18592	733	2107	1244
Bacteria;Chlamydiae	0	29	12	0	2	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	6	3	59	43	13	0	0	0
Bacteria;Cyanobacteria	57	0	277	728	41	2	25	26	3	7	5	171	1	11	8	28	10	11	12	3	2	83	55	7	0	9	0	3	29	3	64	31	57	37	32	1	2	3	0	0	53	0	222	61	3	934	7	741	4	1	0
Bacteria;Deferribacteres	7	15	9	0	9	5	10	6	3	13	6	48	5	2	10	2	2	6	0	25	3	6	3	9	3	1	17	10	24	2	7	14	4	27	14	20	46	680	110	235	471	0	0	41	2	4	11	0	2	2	2
Bacteria;Deinococcus-Thermus	0	0	1	2	0	0	0	0	0	1	1	2	1	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	712	0	0	0	1	0	1	0	0	0
Bacteria;Epsilonbacteraeota	600	16	570	404	37	2	2	4	0	1	0	1434	4	4	0	0	2	0	2	3	3	3	206	0	2	1	1	3	0	0	1	1	4	291	0	1	3	1	0	2	5	2	2	394	449	186	105	558	7	0	5
Bacteria;Firmicutes	6465	6439	12154	12119	10359	19758	16782	9017	21655	15489	13562	6944	12215	10965	11542	11206	11986	18956	14190	10610	5551	10610	4175	8397	5782	4755	4378	9099	12947	8732	2576	12059	9537	6185	9615	24318	22064	29682	15878	13732	22527	18870	14431	10971	4638	5759	8774	8958	23573	27600	21479
Bacteria;Fusobacteria	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	523	0	0	0	0	0	0	0	0	0
Bacteria;Gemmatimonadetes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	124	0	0	0	0	0	0	0	0
Bacteria;Patescibacteria	2	0	1	0	17	2	17	6	10	9	1	0	8	3	20	5	14	17	6	2	6	39	0	2	0	7	6	2	5	12	0	9	5	30	18	3	8	13	56	75	4	0	0	60	1	0	0	0	597	1	3
Bacteria;Planctomycetes	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	196	0
Bacteria;Proteobacteria	1115	451	213	254	167	170	170	390	529	242	88	665	69	70	152	197	118	520	197	5330	283	157	946	81	223	6534	4774	110	287	103	365	85	200	338	3163	458	51	733	71	128	81	11732	2041	462	7486	1149	250	146	9018	8578	8548
Bacteria;Synergistetes	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	849	0	0
Bacteria;Tenericutes	4	0	0	0	44	36	382	91	114	37	41	41	8	15	12	23	213	204	89	3	12	21	4	11	37	232	190	53	56	105	8	156	170	44	45	33	33	6	0	0	43	456	0	33	3	2	2	1	0	1	1
Bacteria;Verrucomicrobia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	591	0	0	0	0	0	0	0	0
