Species	CF1	CF10	CF11	CF12	CF13	CF14	CF15	CF16	CF17	CF18	CF19	CF2	CF20	CF21	CF22	CF23	CF24	CF25	CF26	CF27	CF28	CF29	CF3	CF30	CF31	CF32	CF33	CF34	CF35	CF36	CF37	CF38	CF39	CF4	CF40	CF41	CF42	CF43	CF44	CF45	CF46	CF47	CF48	CF5	CF6	CF7	CF8	CF9	CL1n	CL2n	CL3n
Bacteria;?;?;?;?;?;?	0	0	0	0	2	0	9	0	8	2	1	0	4	1	4	0	1	10	1	0	2	6	0	0	2	0	0	1	0	53	0	6	13	0	12	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Acidobacteria;Subgroup 6;?;?;?;?	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	1	445	0
Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;?	12	10	13	4	68	22	4	29	13	0	6	2	11	39	14	21	0	4	0	23	18	27	5	10	28	1	5	19	4	14	61	22	36	8	49	8	9	2	6	9	9	5365	376	33	7	6	14	4	2166	1747	2179
Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium 1;?	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	4	260	0	0	0	0	0	429	0	288
Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium 1;Corynebacterium kroppenstedtii	3	1	2	2	2	4	3	7	3	0	2	1	2	0	2	2	2	0	3	0	3	3	0	3	1	1	0	2	5	1	1	2	0	2	0	3	2	3	2	1	2	1393	534	2	5	4	1	5	61	1949	1610
Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium;Corynebacterium lowii	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	1	2	3	3	0	4	2	3	1	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Rothia;?	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	359	0	0	0	0	0	256	1	0
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Promicromonosporaceae;?;?	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	173	0	2	0	0	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Propionibacteriales;Nocardioidaceae;?;?	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	376	0	0	0	0	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Propionibacteriales;Nocardioidaceae;Nocardioides;?	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	230	0	0	0	0	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Propionibacteriales;Propionibacteriaceae;?;?	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	1	1	0
Bacteria;Actinobacteria;Actinobacteria;Propionibacteriales;Propionibacteriaceae;Cutibacterium;?	4	0	1	2	3	1	3	2	1	0	1	0	4	2	4	2	1	0	3	4	3	7	2	3	1	1	1	1	2	0	0	3	0	1	1	2	3	0	3	3	3	2124	206	3	0	2	2	5	199	976	802
Bacteria;Actinobacteria;Actinobacteria;Streptomycetales;Streptomycetaceae;Streptomyces;?	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0
