OTU	13xSPFxCD	14xSPFxCD	15xSPFxCD	16xSPFxCD	19xSPFxHFD	21xSPFxHFD	22xSPFxHFD	24xSPFxHFD
OTU_0	1	0	0	4	5	1	1	0
OTU_2	2	4	2	3	2	1	3	2
OTU_3	0	0	0	1	2	1	0	0
OTU_4	2	2	1	3	4	5	3	1
OTU_7	2	4	0	1	1	4	1	3
OTU_8	3	1	3	6	3	6	5	0
OTU_9	3	2	6	2	2	1	3	0
OTU_10	1	1	1	3	3	4	1	4
OTU_11	6	2	0	0	2	2	3	3
OTU_12	1	2	2	2	2	2	5	1
OTU_13	3	5	1	3	1	4	2	2
OTU_14	3	0	0	3	0	2	1	1
OTU_15	2	0	2	1	1	4	1	1
OTU_16	1	1	4	2	6	0	2	1
OTU_17	0	0	4	1	7	4	2	3
OTU_20	3	0	1	1	3	0	0	0
OTU_21	3	1	1	0	0	4	1	4
OTU_23	5	0	4	2	3	3	5	1
OTU_24	0	1	2	4	1	1	2	0
OTU_26	2	3	2	5	1	1	4	7
OTU_27	2	3	2	4	1	4	1	2
OTU_29	1	4	1	5	4	0	1	3
OTU_30	4	2	1	1	1	4	1	5
OTU_31	1	2	3	3	6	2	2	1
OTU_32	2	3	1	2	1	1	1	2
OTU_33	2	4	0	1	2	1	3	3
OTU_34	3	1	2	3	2	1	2	5
OTU_35	7	3	1	4	3	4	1	6
OTU_36	3	2	7	1	2	3	2	3
OTU_37	0	0	1	0	1	0	1	0
OTU_38	1	3	1	2	1	1	2	2
OTU_39	0	1	0	0	0	0	0	6
OTU_43	1	3	2	3	2	1	1	3
OTU_44	1	0	2	0	4	1	4	1
OTU_45	1	2	1	1	3	1	1	1
OTU_47	3	3	1	1	1	1	4	1
OTU_48	2	3	5	0	3	2	2	4
OTU_49	4	1	2	3	2	3	1	0
OTU_59	4	3	2	1	2	1	2	4
OTU_61	3	1	5	4	1	2	2	2
OTU_64	19	11	14	29	0	14	7	36
OTU_65	3	2	4	2	7	8	5	4
OTU_69	3	1	1	2	4	3	4	2
OTU_70	1	3	2	3	1	1	7	0
OTU_73	2	4	1	2	1	4	3	3
OTU_78	90	110	96	253	214	314	214	223
OTU_81	6	6	1	1	10	5	14	5
OTU_97	14	6	13	35	17	30	21	34
OTU_101	28	18	11	3	4	2	2	5
OTU_103	1	2	0	1	0	0	1	1
OTU_104	1	3	0	1	4	1	1	4
OTU_106	2	0	3	6	5	2	6	3
OTU_107	0	3	2	1	3	2	1	2
OTU_109	3	2	3	5	3	3	2	1
OTU_113	4	4	5	1	1	1	1	2
OTU_114	4	0	3	0	2	1	5	1
OTU_116	2	4	1	4	2	4	1	3
OTU_121	4	0	5	6	6	5	2	2
OTU_123	0	0	1	1	3	1	1	5
OTU_124	3	7	4	15	0	7	0	5
OTU_125	1	3	1	4	0	4	1	3
OTU_129	5	1	1	4	1	3	1	2
OTU_130	4	2	4	4	2	4	1	3
OTU_135	4	3	3	4	6	6	4	6
OTU_139	0	3	1	5	5	5	0	1
OTU_142	1	3	2	4	2	2	2	4
OTU_145	4	7	5	10	7	1	3	3
OTU_146	43	38	37	11	10	56	27	91
OTU_150	1	2	2	2	5	2	1	2
OTU_152	3	2	1	2	1	4	3	1
OTU_154	0	4	3	2	0	2	5	1
OTU_156	0	1	3	1	0	0	0	0
OTU_158	0	5	4	4	3	3	3	2
OTU_159	5	5	8	5	4	3	2	8
OTU_161	2	0	2	3	4	1	0	4
OTU_162	5	1	4	2	4	0	0	0
OTU_165	2	0	0	3	0	0	1	0
OTU_166	2	0	3	3	3	3	2	5
OTU_167	4	1	0	2	2	2	4	3
OTU_168	2	2	1	1	0	3	2	2
OTU_171	5	0	1	3	3	5	3	2
OTU_172	2	1	1	2	5	5	1	3
OTU_175	1	1	2	0	0	1	0	1
OTU_176	6	6	3	2	4	6	3	0
OTU_177	5	1	3	4	3	3	0	0
OTU_178	4	3	5	4	0	3	0	3
OTU_179	5	3	6	4	8	3	4	4
