#Qual	FilteredP1	FilteredP2	AddFilterP1	AddFilterP2	RawReadsP1	RawReadsP2
0	0	0	0	0	0	0
1	0	0	0	0	0	0
2	0	0	0	0	0	0
3	0	0	0	0	0	0
4	0	0	0	0	0	0
5	0	0	0	0	0	21
6	0	0	0	0	0	57
7	0	0	0	0	0	31
8	0	0	0	0	0	17
9	0	0	0	0	0	14
10	0	0	0	0	0	20
11	0	0	0	0	0	23
12	0	0	0	0	0	40
13	0	0	0	0	0	80
14	0	0	0	0	1	102
15	0	0	0	0	7	132
16	0	0	0	0	22	262
17	0	0	0	0	100	443
18	0	0	0	0	237	606
19	0	0	0	0	428	691
20	0	0	0	0	767	824
21	0	0	0	0	1046	845
22	0	0	0	0	1226	793
23	0	0	0	0	1443	967
24	0	0	0	0	1647	1187
25	0	2	0	0	1938	1398
26	0	33	0	0	2089	1614
27	0	269	0	0	2160	2060
28	9	804	0	0	2318	2430
29	11	1676	0	0	2613	3030
30	123	2809	0	0	2680	3751
31	464	3928	0	0	2713	4308
32	1168	4800	0	0	2721	4873
33	2097	4497	0	0	2894	4500
34	2770	2938	0	0	2984	2938
35	2842	987	0	0	2860	987
36	2636	71	0	0	2638	71
37	1491	1	0	0	1491	1
38	93	0	0	0	93	0
