#OTU	Classes	Taxonomy
OTU_1	N/A	Bacteria;Firmicutes;Clostridia;Clostridiales;?;?;?
OTU_10	N/A	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;?;?
OTU_11	N/A	Bacteria;Firmicutes;Clostridia;Clostridiales;?;?;?
OTU_12	N/A	Bacteria;Firmicutes;Clostridia;Clostridiales;?;?;?
OTU_13	fermentation;	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;acidifaciens
OTU_14	N/A	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;?;?;?
OTU_15	N/A	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;S24-7;?;?
OTU_16	N/A	Bacteria;Firmicutes;Clostridia;Clostridiales;?;?;?
OTU_17	fermentation;	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus;?
OTU_18	N/A	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;S24-7;?;?
OTU_19	nitrate_reduction;nitrate_respiration;sulfate_respiration;	Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Bilophila;?
OTU_2	fermentation;	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Parabacteroides;?
OTU_20	fermentation;	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus;?
OTU_21	N/A	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;S24-7;?;?
OTU_22	sulfate_respiration;	Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio;C21_c20
OTU_23	mammal_gut;	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Oscillospira;?
OTU_24	N/A	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;[Odoribacteraceae];Odoribacter;?
OTU_25	N/A	Bacteria;Proteobacteria;Alphaproteobacteria;RF32;?;?;?
OTU_26	N/A	Bacteria;Firmicutes;Clostridia;Clostridiales;?;?;?
OTU_27	N/A	Bacteria;Firmicutes;Clostridia;Clostridiales;?;?;?
OTU_28	mammal_gut;	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Oscillospira;?
OTU_29	N/A	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;?;?
OTU_3	N/A	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;S24-7;?;?
OTU_30	N/A	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;?;?
OTU_31	N/A	Bacteria;Deferribacteres;Deferribacteres;Deferribacterales;Deferribacteraceae;Mucispirillum;schaedleri
OTU_32	mammal_gut;	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Oscillospira;?
OTU_33	N/A	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;S24-7;?;?
OTU_34	N/A	Bacteria;Firmicutes;Clostridia;Clostridiales;?;?;?
OTU_35	N/A	Bacteria;Firmicutes;Clostridia;Clostridiales;?;?;?
OTU_36	N/A	Bacteria;Firmicutes;Clostridia;Clostridiales;?;?;?
OTU_37	N/A	Bacteria;Firmicutes;Clostridia;Clostridiales;?;?;?
OTU_38	N/A	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;?;?
OTU_39	N/A	Bacteria;Firmicutes;Clostridia;Clostridiales;Dehalobacteriaceae;Dehalobacterium;?
OTU_4	N/A	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;?;?
OTU_40	N/A	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;S24-7;?;?
OTU_41	N/A	Bacteria;Firmicutes;Clostridia;Clostridiales;?;?;?
OTU_42	N/A	Bacteria;Firmicutes;Clostridia;Clostridiales;?;?;?
OTU_43	fermentation;	Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;?
OTU_44	N/A	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;?;?
OTU_45	N/A	Bacteria;Firmicutes;Clostridia;Clostridiales;Peptococcaceae;?;?
OTU_46	fermentation;	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus;?
OTU_47	N/A	Bacteria;Firmicutes;Clostridia;Clostridiales;?;?;?
OTU_48	N/A	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;?;?
OTU_49	N/A	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;S24-7;?;?
OTU_5	human_gut;	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;[Ruminococcus];gnavus
OTU_50	fermentation;	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus;?
OTU_51	N/A	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;?;?
OTU_52	N/A	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;S24-7;?;?
OTU_53	fermentation;human_gut;	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Coprococcus;?
OTU_54	fermentation;	Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;Allobaculum;?
OTU_55	N/A	Bacteria;Firmicutes;Clostridia;Clostridiales;?;?;?
OTU_56	N/A	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;?;?
OTU_57	N/A	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;?;?
OTU_59	N/A	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;S24-7;?;?
OTU_6	N/A	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;?;?
OTU_61	mammal_gut;	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Oscillospira;?
OTU_62	N/A	Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Adlercreutzia;?
OTU_64	N/A	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;S24-7;?;?
OTU_65	N/A	Bacteria;Firmicutes;Clostridia;Clostridiales;?;?;?
OTU_66	fermentation;human_gut;nitrate_reduction;	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;?;?
OTU_67	N/A	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;S24-7;?;?
OTU_68	N/A	Bacteria;Cyanobacteria;4C0d-2;YS2;?;?;?
OTU_69	fermentation;	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus;?
OTU_7	fermentation;	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;?
OTU_70	N/A	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;?;?
OTU_71	N/A	Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae;Helicobacter;?
OTU_72	N/A	Bacteria;Firmicutes;Clostridia;Clostridiales;[Mogibacteriaceae];?;?
OTU_73	N/A	Bacteria;Firmicutes;Clostridia;Clostridiales;?;?;?
OTU_74	N/A	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;S24-7;?;?
OTU_75	N/A	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;?;?
OTU_76	fermentation;	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus;?
OTU_77	N/A	Bacteria;TM7;TM7-3;CW040;F16;?;?
OTU_78	N/A	Bacteria;Firmicutes;Clostridia;Clostridiales;Dehalobacteriaceae;Dehalobacterium;?
OTU_79	fermentation;	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;?
OTU_8	N/A	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;?;?
OTU_80	fermentation;	Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;Allobaculum;?
OTU_81	N/A	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;S24-7;?;?
OTU_82	mammal_gut;	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Oscillospira;?
OTU_83	N/A	Bacteria;Firmicutes;Clostridia;Clostridiales;?;?;?
OTU_84	N/A	Bacteria;Firmicutes;Clostridia;Clostridiales;[Mogibacteriaceae];?;?
OTU_85	N/A	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;S24-7;?;?
OTU_86	N/A	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;S24-7;?;?
OTU_87	nitrate_reduction;	Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;sciuri
OTU_88	fermentation;human_gut;	Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;aerofaciens
OTU_89	N/A	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;S24-7;?;?
OTU_9	N/A	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;S24-7;?;?
OTU_90	N/A	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;?;?
OTU_91	N/A	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;S24-7;?;?
OTU_92	aerobic_chemoheterotrophy;	Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Verrucomicrobiaceae;Akkermansia;muciniphila
OTU_93	N/A	Bacteria;Firmicutes;Clostridia;Clostridiales;?;?;?
