OTU	13xSPFxCD	14xSPFxCD	15xSPFxCD	16xSPFxCD	19xSPFxHFD	21xSPFxHFD	22xSPFxHFD	24xSPFxHFD
OTU_1	117	41	63	72	259	403	171	484
OTU_2	161	421	191	565	13	17	140	28
OTU_3	333	267	338	77	0	0	0	0
OTU_4	105	222	252	122	110	40	12	98
OTU_5	61	64	56	96	56	105	138	143
OTU_6	34	18	32	49	133	137	159	89
OTU_7	112	38	18	55	66	37	171	85
OTU_8	65	57	66	50	47	17	74	32
OTU_9	105	145	72	59	5	1	10	2
OTU_10	36	16	32	39	49	27	121	52
OTU_11	14	2	6	7	68	130	61	29
OTU_12	1	19	16	6	4	56	81	107
OTU_13	22	10	17	13	53	49	82	39
OTU_14	75	17	34	6	67	4	15	29
OTU_15	79	66	74	21	0	0	1	0
OTU_16	5	0	0	0	100	58	27	50
OTU_17	12	10	11	33	59	43	32	27
OTU_18	68	38	52	23	6	0	4	0
OTU_19	22	5	5	2	32	30	61	17
OTU_20	14	34	48	33	9	12	8	6
OTU_21	40	49	20	21	12	6	11	4
OTU_22	0	29	27	72	14	11	4	2
OTU_23	8	13	16	23	14	24	25	33
OTU_24	28	23	29	3	36	7	9	19
OTU_25	11	48	24	11	5	5	37	9
OTU_26	0	0	0	0	60	34	18	29
OTU_27	4	10	9	12	13	34	24	26
OTU_28	12	5	10	16	7	36	14	29
OTU_29	27	12	13	11	17	2	26	6
OTU_30	12	18	14	14	9	15	16	8
OTU_31	0	1	0	26	12	45	3	2
OTU_32	0	29	5	5	6	8	13	7
OTU_33	19	9	14	12	4	0	12	3
OTU_34	0	0	0	2	17	11	30	12
OTU_35	0	6	5	8	12	11	6	17
OTU_36	53	4	3	2	0	0	1	0
OTU_37	34	1	0	0	11	7	8	2
OTU_38	7	8	10	4	3	1	18	8
OTU_39	6	7	8	12	6	4	4	10
OTU_40	13	3	8	8	8	0	9	1
OTU_41	0	1	2	0	16	14	2	14
OTU_42	3	1	6	4	12	9	1	12
OTU_43	1	0	2	0	22	1	9	11
OTU_44	5	2	10	7	1	2	17	0
OTU_45	2	3	5	5	1	7	9	10
OTU_46	5	8	5	14	2	1	2	3
OTU_47	2	2	1	1	7	4	2	20
OTU_48	8	13	4	0	1	3	1	7
OTU_49	5	12	6	4	0	0	0	0
OTU_50	0	6	3	5	5	1	4	2
OTU_51	0	2	4	0	5	5	3	7
OTU_52	1	6	8	2	6	1	0	1
OTU_53	2	0	3	4	2	3	5	2
OTU_54	9	8	0	2	0	0	1	0
OTU_55	0	0	4	0	8	4	2	1
OTU_56	0	0	0	0	6	5	4	2
OTU_57	3	2	2	0	5	0	4	0
OTU_58	1	0	0	1	4	5	2	2
OTU_59	2	0	0	0	8	3	1	1
OTU_60	2	1	5	1	0	1	4	0
OTU_61	1	1	0	4	3	0	1	4
OTU_62	0	0	2	0	0	3	3	5
OTU_63	2	3	1	2	1	1	1	2
OTU_64	1	1	7	3	0	0	0	1
OTU_65	0	1	2	0	0	1	5	1
OTU_66	0	0	1	0	0	0	3	6
OTU_67	3	4	1	0	1	0	0	0
OTU_68	1	1	6	1	0	0	0	0
OTU_69	0	1	2	0	4	1	1	0
OTU_70	1	2	0	0	2	1	0	2
OTU_71	0	0	2	3	0	0	2	0
OTU_72	1	2	0	2	1	0	0	1
OTU_73	1	0	0	0	3	1	1	0
OTU_74	0	0	1	1	2	0	2	0
OTU_75	0	0	0	0	0	4	1	1
OTU_76	0	0	0	0	3	0	0	2
OTU_77	0	0	0	0	0	0	0	4
OTU_78	0	0	0	0	0	1	1	2
OTU_79	0	0	0	0	0	0	3	1
OTU_80	1	0	0	0	0	0	0	3
OTU_81	1	1	0	2	0	0	0	0
OTU_82	0	0	1	0	0	0	0	3
OTU_83	0	0	0	0	1	3	0	0
OTU_84	0	0	0	1	0	0	0	2
OTU_85	0	0	1	2	0	0	0	0
OTU_86	0	1	1	0	1	0	0	0
OTU_87	0	0	0	0	0	0	3	0
OTU_88	1	1	0	0	0	1	0	0
OTU_89	1	0	0	0	2	0	0	0
OTU_90	0	0	1	0	0	2	0	0
OTU_91	0	1	1	0	0	0	0	0
OTU_92	0	1	0	0	0	1	0	0
OTU_93	0	0	0	0	0	1	1	0
