Species	13xSPFxCD	14xSPFxCD	15xSPFxCD	16xSPFxCD	19xSPFxHFD	21xSPFxHFD	22xSPFxHFD	24xSPFxHFD
Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Adlercreutzia;?	0	0	2	0	0	3	3	5
Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;aerofaciens	1	1	0	0	0	1	0	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;?;?;?	75	17	34	6	67	4	15	29
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;?;?	65	57	66	50	47	17	74	32
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;?	112	38	18	55	66	37	171	85
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;acidifaciens	22	10	17	13	53	49	82	39
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Parabacteroides;?	161	421	191	565	13	17	140	28
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;?;?	178	260	309	176	184	70	181	164
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;S24-7;?;?	671	603	604	235	55	11	50	13
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;[Odoribacteraceae];Odoribacter;?	28	23	29	3	36	7	9	19
Bacteria;Cyanobacteria;4C0d-2;YS2;?;?;?	1	1	6	1	0	0	0	0
Bacteria;Deferribacteres;Deferribacteres;Deferribacterales;Deferribacteraceae;Mucispirillum;schaedleri	0	1	0	26	12	45	3	2
Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;sciuri	0	0	0	0	0	0	3	0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;?	1	0	2	0	22	1	9	11
Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;?	0	0	0	0	0	0	3	1
Bacteria;Firmicutes;Clostridia;Clostridiales;?;?;?	234	88	117	114	591	781	441	804
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;?;?	1	2	0	0	2	1	0	2
Bacteria;Firmicutes;Clostridia;Clostridiales;Dehalobacteriaceae;Dehalobacterium;?	6	7	8	12	6	5	5	12
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;?;?	17	20	24	21	10	17	33	8
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Coprococcus;?	2	0	3	4	2	3	5	2
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;[Ruminococcus];gnavus	61	64	56	96	56	105	138	143
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptococcaceae;?;?	2	3	5	5	1	7	9	10
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;?;?	42	33	41	49	145	156	168	106
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Oscillospira;?	21	48	32	48	30	68	53	76
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus;?	31	59	69	85	82	58	47	40
Bacteria;Firmicutes;Clostridia;Clostridiales;[Mogibacteriaceae];?;?	1	2	0	3	1	0	0	3
Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;Allobaculum;?	10	8	0	2	0	0	1	3
Bacteria;Proteobacteria;Alphaproteobacteria;RF32;?;?;?	11	48	24	11	5	5	37	9
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Bilophila;?	22	5	5	2	32	30	61	17
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio;C21_c20	0	29	27	72	14	11	4	2
Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae;Helicobacter;?	0	0	2	3	0	0	2	0
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;?;?	0	0	1	0	0	0	3	6
Bacteria;TM7;TM7-3;CW040;F16;?;?	0	0	0	0	0	0	0	4
Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Verrucomicrobiaceae;Akkermansia;muciniphila	0	1	0	0	0	1	0	0
